Plot,Line,Tag,DIS,LOC,POM,DTN,DGH,DBH,Morpho,Main Stem,Notes
SW,3,1369,43,L,,,,1.3,,MAIN STEM,
SW,3,1376,41.7,R,,,1.1,,,,
SW,3,1377,42,RR,,,1.5,,,,
SW,3,1378,43,L,,,,3.5,,STEM OF 1369,
SW,3,1381,44,R,,,1,,,,
SW,3,1382,44,R,,,1,,,,
SW,3,1349,44.8,LL,,,1.5,,,,
SW,3,1383,45,R,,,1.2,,,,
SW,3,1380,46.1,LL,,,1.8,,,,
SW,3,1384,46.7,C,,,1,,,,
SW,3,1385,49.6,LL,,,,3.8,,,
SW,3,1386,49,L,,,,4.9,,,
SW,3,1388,49,LL,,,1,,,,
SW,3,1387,48.9,C,,,1.9,,,,
SW,4,1389,0,L,,,1.4,,,,
SW,4,1391,1,L,,,,10,,MAIN STEM,
SW,4,1390,0,L,,,1,,,,
SW,4,1392,1,L,,,,4.3,,STEM OF 1391,
SW,4,1394,2,C,,,,14.9,,,
SW,4,1393,4,C,,,,3.3,LIANA,,
SW,4,1398,2.5,RR,,,,170,,,
SW,4,1396,3.9,LL,,,1.3,,,,
SW,4,1397,5.4,C,,,,1.1,,,
SW,4,1399,6.7,C,,,2,,,,
SW,4,1400,6.9,C,,,1.5,,,,
SW,4,1395,7,C,,,,1,,,
SW,4,1401,7.5,R,,,2.1,,,,
SW,4,1405,8,RR,,,1.9,,,,
SW,4,1406,7.5,RR,,,1,,,,
SW,4,1402,8.1,L,,,1.3,,,,
SW,4,1403,8.2,LL,,,1.5,,,,
SW,4,1404,11.2,L,,,1,,,,
SW,4,1410,11.9,RR,,,,1.7,,MAIN STEM,
SW,4,1407,11.9,RR,,,,2.6,,STEM OF 1410,
SW,4,1408,12.1,LL,,,1.9,,,,
SW,4,1409,12.2,L,,,1.7,,,,
SW,4,1414,12.3,LL,,,1,,,,
SW,4,1412,13,C,,,,4.6,,,
SW,4,1415,12.7,L,,,1.5,,,,
SW,4,1411,13.1,C,,,1.3,,,,
SW,4,1416,12.9,LL,,,,1.3,,,
SW,4,1413,13.9,R,,,1.1,,,,
SW,4,1417,14,LL,,,2.1,,,,
SW,4,1418,14.3,C,,,1,,,,
SW,4,1422,14.7,L,,,1.4,,,,
SW,4,1421,15.2,C,,,,2.9,,MAIN STEM,
SW,4,1419,15.2,C,,,,3.3,,STEM OF 1421,
SW,4,1420,15.2,C,,,,2.8,,STEM OF 1421,
SW,4,1425,15.2,C,,,,1.3,,STEM OF 1421,
SW,4,1426,15.2,C,,,,2.1,,STEM OF 1421,
SW,4,1423,16.4,R,,,1.4,,,,
